"cui";"Marque commerciale eCommerce";"Libellé Web";"Quantité vendue"
"A0220151222000018701";"PAYSAN BRETON";"Beurre aux cristaux de sel de Guérande";"250g"
"A0220151112000012507";"AUCHAN";"Beurre allégé doux";"250g"
"A0220150312000805215";"PRESIDENT";"Beurre doux";"250g"
"A0220140806000796926";"GILLOT";"Beurre doux";"250g"
"A0220140408000790484";"GRAND FERMAGE";"Beurre aux cristaux de sel de mer de Noirmoutier bio";"250g"
"A0220130502000645091";"AUCHAN";"Mini-beurres doux gastronomiques";"20x10g"
"A0220130322000542987";"ELLE & VIRE";"Beurre roulé doux de Condé";"250g"
"A0220101118000026291";"PAYSAN BRETON";"Mini-beurre demi-sel";"20x10g"
"A0220100621000027067";"AUCHAN";"Beurre demi-sel allégé 60% MG";"250g"
"A0220100621000027066";"AUCHAN";"Beurre doux allégé 60% MG";"250g"
"A0220061117000015521";"PRESIDENT";"Beurre demi-sel gastronomique";"2x250g"
"A0220061220000031814";"PRESIDENT";"Beurre tendre Président demi sel 80% MG beurrier";"2x250g"
"A0220040702000235414";"MONTFLEURI";"Beurre demi-sel allégé 60%MG";"250g"
"A0220030122000792848";"PAYSAN BRETON";"Beurre demi-sel aux cristaux de sel de Guérande";"500g"
"A0220001222000644936";"AUCHAN";"Beurre tendre demi sel";"250g"
"A0219930702000041641";"AUCHAN";"Beurre moulé doux";"500g"
"A0220020416000044135";"PAYSAN BRETON";"Beurre moulé demi-sel";"125g"
"A0219970408000013929";"BRIDELIGHT";"Matière grasse laitière demi-sel 15%MG";"250g"
"A0220050217000026791";"GRAND FERMAGE";"Beurre moulé bio doux";"250g"
"A0220001108000026837";"PRESIDENT";"Beurre tendre doux";"125g"
"P02000000000548";"ST HUBERT";"Margarine oméga 3 doux sans huile de palme";"500g"
"A0220051130000185583";"DISCOUNT";"Beurre doux";"250g"
"P0200000000075Q";"AUCHAN BIO";"Beurre doux";"500g"
"P020000000007F9";"PRESIDENT";"Beurre doux";"225g"
"P020000000008TR";"FRUIT D'OR";"Margarine oméga 3 doux";"450g"
"P02000000000CEA";"PLANTA FIN";"Margarine liquide pour cuisson";"500ml"
"P02000000000K8Z";"FROMAGERIE CHABERT";"Beurre doux de Savoie";"250g"
"P020000000011EC";"PLANTA FIN";"Margarine doux pour tartine et cuisson";"250g"
