cui,CUG,GTIN d’encaissement,product_label,photo_id,media_url
A0220150318000805532,805532,3450160004887,CHESNEL SSON ST AGAUNE 200G OD,MEDIASTEP84283661,https://media.auchan.fr/MEDIASTEP84283661_0x0/
P020000000004PM,196339,3329770061507,PANIER FRUITS PANACHES 6X140G,MEDIASTEP135683917,https://media.auchan.fr/MEDIASTEP135683917_0x0/
P02000000001670,103281,3600551054469,CADUM DOUCHE SURGRAS KARITE750ML,MEDIASTEP161918293,https://media.auchan.fr/MEDIASTEP161918293_0x0/
A0220190115000547689,547689,3041091401250,BLEDINA COUPELLES FRUITS POMMES POIRES VANILLE 12X100G,MEDIASTEP136533866,https://media.auchan.fr/MEDIASTEP136533866_0x0/
A0220160808000478145,478145,3245678589809,COSMIA SHAMP AUX OEUFS TOUSTYPES DE CHEVEUX 500 ML,MEDIASTEP84636816,https://media.auchan.fr/MEDIASTEP84636816_0x0/
A0220171130000565759,565759,4005900456304,NIVEA VISAGE Q10 CUSHION CLAIR15ML,MEDIASTEP75535744,https://media.auchan.fr/MEDIASTEP75535744_0x0/
A0220080519000047540,47540,3254560475403;3287390072177,AUCHAN TRESSE JAMBON FROM2X120,MEDIASTEP62282984,https://media.auchan.fr/MEDIASTEP62282984_0x0/
P0200000000108P,116541,3240931546681,LUSTUCRU TORTEL CHEV JB FUM,MEDIASTEP141337109,https://media.auchan.fr/MEDIASTEP141337109_0x0/
A0220160128000602214,602214,7622210476104,VERITABLE PETIT BEURRE 400G,MEDIASTEP155629254,https://media.auchan.fr/MEDIASTEP155629254_0x0/
A0220150814000505380,505380,3596710422098,AUCHAN SPECIALITE SSA POMME FRAMBOISE COUPELLE 4X100G,MEDIASTEP162078777,https://media.auchan.fr/MEDIASTEP162078777_0x0/
A0220200511000041413,41413,3428420009347,ERHARD PTITES BOTTES X4 200G,MEDIASTEP104011074,https://media.auchan.fr/MEDIASTEP104011074_0x0/
P02000000000VNI,944499,3760257090717,BIOL HARI CO BOULET POIS CHICH,MEDIASTEP158576164,https://media.auchan.fr/MEDIASTEP158576164_0x0/
P02000000000R69,932034,3371733000832,COVIFRUIT PETILLANT POMME 75CL,MEDIASTEP106849656,https://media.auchan.fr/MEDIASTEP106849656_0x0/
P020000000002O6,867688,3596710451425,AUCHAN BIOD EMMENTAL 250G,MEDIASTEP57976729,https://media.auchan.fr/MEDIASTEP57976729_0x0/
A0220170809000350010,350010,3596710424849,AUCHAN MINI ROULES GOUTCHOCOLAT X6 150G,MEDIASTEP57825448,https://media.auchan.fr/MEDIASTEP57825448_0x0/
A0220080808000437780,437780,3596710322732,AUCHAN TARTINES CRAQUANTESAU FROMENT 250G,MEDIASTEP58889355,https://media.auchan.fr/MEDIASTEP58889355_0x0/
P020000000003W8,151320,3019081239060,THON MAYO 135G,MEDIASTEP65766759,https://media.auchan.fr/MEDIASTEP65766759_0x0/
A0220180112000078033,78033,8410650233598,ULTIMA NATURE BOUCHEES AUPOULET ET A LA VOLAILLE 4X85G,MEDIASTEP142086661,https://media.auchan.fr/MEDIASTEP142086661_0x0/
A0220150915000864055,864055,3456774781602,NOVA DESSERT GMD CHOCOLAT X2,MEDIASTEP159953739,https://media.auchan.fr/MEDIASTEP159953739_0x0/
A0220071220000571019,571019,3434890020010,ST AMAND EAU MIN PLATE PET 2L,MEDIASTEP162363172,https://media.auchan.fr/MEDIASTEP162363172_0x0/
A0220170707000400147,400147,3245678612583,COSMIA GEL COIFFANT FIXATIONFORTE 250 ML,MEDIASTEP64272203,https://media.auchan.fr/MEDIASTEP64272203_0x0/
A0220181123000410151,410151,3094905538321,SENSODYNE DENTIFRICE SENSIBILITE GENCIVES 2X75 ML,MEDIASTEP76729651,https://media.auchan.fr/MEDIASTEP76729651_0x0/
A0220120406000028967,28967,3325350802713,HOLYFR NOIX COCO RAPEE 500G,MEDIASTEP79898498,https://media.auchan.fr/MEDIASTEP79898498_0x0/
A0220160401000611949,611949,7622210438294,COTE D OR NOIR EXTRA 3X100G,MEDIASTEP133412869,https://media.auchan.fr/MEDIASTEP133412869_0x0/
A0219961029000016505,16505,3596710015887,AUC GOUDA TRANCHES 200G,MEDIASTEP76447012,https://media.auchan.fr/MEDIASTEP76447012_0x0/
A0220160615000042378,42378,3254560423787,AUCH BOUL/BOEUF/FUSILLI 300GFE,MEDIASTEP135445003,https://media.auchan.fr/MEDIASTEP135445003_0x0/
A0220100429000653271,653271,3289010001758,REG MILHAU SSE SECHE LR 250G,MEDIASTEP128537058,https://media.auchan.fr/MEDIASTEP128537058_0x0/
A0219900101000060811,60811,3183280000728,LA BALEINE SEL IODE EXTRA FINPLASTILUX 250G,MEDIASTEP154552196,https://media.auchan.fr/MEDIASTEP154552196_0x0/
A0220190220000779202,779202,3178041341400,VADEMECUM DENTIFRICE BIO KIDS6 ANS+ MENTHE 50 ML,MEDIASTEP77643267,https://media.auchan.fr/MEDIASTEP77643267_0x0/
A0219960521000052476,52476,3268650606028,REG CAROLA VERTE EAU MIN GAZ PET6X50CL,MEDIASTEP161715818,https://media.auchan.fr/MEDIASTEP161715818_0x0/
A0220160321000250118,250118,3600541895478,GARNIER SKINACTIVE PURE ACTIVE3EN1 CHARBON ANTI PNOIRS 150ML,MEDIASTEP161572571,https://media.auchan.fr/MEDIASTEP161572571_0x0/
A0220091103000425704,425704,3254560079519,AUCHAN LAIT POUDRE ECREME300G,MEDIASTEP70614509,https://media.auchan.fr/MEDIASTEP70614509_0x0/
A0220180723000444541,444541,7702018457748,GILLETTE GEL A RASER SERIESSENSITIVE COOL 200ML,MEDIASTEP84305433,https://media.auchan.fr/MEDIASTEP84305433_0x0/
A0220050419000426090,426090,5029053019659,KLEENEX MOUCHOIRS DISNEYBOITE X56,MEDIASTEP139678427,https://media.auchan.fr/MEDIASTEP139678427_0x0/
P020000000010Q6,278628,3229820801438,BIO BJORG MINI FOURRE CHOCOLATNOIR 180G,MEDIASTEP141130695,https://media.auchan.fr/MEDIASTEP141130695_0x0/
